fecha,departamento,producto,id_producto,precio,unidad,cantidad
2024-07-29,Cochabamba,aceite de girasol,8,12.0,litro(s),0.9
2024-07-30,Cochabamba,aceite de girasol,8,12.0,litro(s),0.9
2024-08-02,Cochabamba,aceite de girasol,8,12.0,litro(s),0.9
2024-08-05,Cochabamba,aceite de girasol,8,12.0,litro(s),0.9
2024-08-08,Cochabamba,aceite de girasol,8,12.0,litro(s),0.9
2024-08-12,Cochabamba,aceite de girasol,8,12.5,litro(s),0.9
2024-08-14,Cochabamba,aceite de girasol,8,12.33,litro(s),0.9
2024-08-16,Cochabamba,aceite de girasol,8,12.0,litro(s),0.9
2024-08-19,Cochabamba,aceite de girasol,8,12.0,litro(s),0.9
2024-08-23,Cochabamba,aceite de girasol,8,12.67,litro(s),0.9
2024-08-24,Cochabamba,aceite de girasol,8,12.33,litro(s),900.0
2024-08-26,Cochabamba,aceite de girasol,8,12.33,litro(s),900.0
2024-08-27,Cochabamba,aceite de girasol,8,12.0,litro(s),900.0
2024-08-28,Cochabamba,aceite de girasol,8,12.33,litro(s),900.0
2024-08-29,Cochabamba,aceite de girasol,8,12.22,litro(s),900.0
2024-08-30,Cochabamba,aceite de girasol,8,12.33,litro(s),900.0
2024-08-31,Cochabamba,aceite de girasol,8,12.56,litro(s),900.0
2024-09-02,Cochabamba,aceite de girasol,8,12.56,litro(s),900.0
2024-09-03,Cochabamba,aceite de girasol,8,12.56,litro(s),900.0
2024-09-04,Cochabamba,aceite de girasol,8,12.56,litro(s),900.0
2024-09-05,Cochabamba,aceite de girasol,8,12.33,litro(s),900.0
2024-09-06,Cochabamba,aceite de girasol,8,12.56,litro(s),900.0
2024-09-07,Cochabamba,aceite de girasol,8,12.44,litro(s),900.0
2024-09-09,Cochabamba,aceite de girasol,8,12.56,litro(s),900.0
2024-09-10,Cochabamba,aceite de girasol,8,12.33,litro(s),900.0
2024-09-11,Cochabamba,aceite de girasol,8,12.22,litro(s),900.0
2024-09-12,Cochabamba,aceite de girasol,8,12.22,litro(s),900.0
2024-09-13,Cochabamba,aceite de girasol,8,12.22,litro(s),900.0
2024-09-16,Cochabamba,aceite de girasol,8,12.44,litro(s),900.0
2024-09-17,Cochabamba,aceite de girasol,8,12.33,litro(s),900.0
2024-09-18,Cochabamba,aceite de girasol,8,12.39,litro(s),900.0
